arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
EAGLE3,code,2K,100,1179.0236808722925,1.0531312363022498,4.47
EAGLE3,code,2K,200,1198.8375022770738,1.0357255794119244,4.47
EAGLE3,code,2K,283,1208.785355118687,1.02720194400829,4.47
EAGLE3,summarization-short,2K,1,108.81059984682805,11.411265707702674,4.47
EAGLE3,summarization-short,2K,5,312.17901153455773,3.9774187911067043,4.47
EAGLE3,summarization-short,2K,25,520.9947436781666,2.383261408552098,4.47
EAGLE3,summarization-short,2K,50,552.019709722644,2.2493158211516175,4.47
EAGLE3,summarization-short,2K,100,559.8968171054762,2.2176705220182655,4.47
EAGLE3,summarization-short,2K,200,565.170853924884,2.196975760593087,4.47
EAGLE3,summarization-short,2K,283,566.5335098156445,2.1916914801221856,4.47
EAGLE3,summarization-long,2K,1,113.8432415710444,10.906810536414662,4.47
EAGLE3,summarization-long,2K,5,433.89601837917075,2.861668727233181,4.47
EAGLE3,summarization-long,2K,25,1015.543761614284,1.2226619015343494,4.47
EAGLE3,summarization-long,2K,50,1148.5566366330183,1.081066990572271,4.47
EAGLE3,summarization-long,2K,100,1165.0330456768438,1.0657780663597411,4.47
EAGLE3,summarization-long,2K,200,1203.8321602642043,1.0314283898132102,4.47
EAGLE3,summarization-long,2K,283,1204.1177048527377,1.031183796785482,4.47
separate-draft,conversational,2K,1,155.24436193253726,7.99814338640036,4.47
separate-draft,conversational,2K,5,461.9790064125293,2.687712319026693,4.47
separate-draft,conversational,2K,25,1285.8052046738521,0.965672453458157,4.47
separate-draft,conversational,2K,50,1437.031127895592,0.8640499447530969,4.47
separate-draft,conversational,2K,100,1498.9757328974847,0.8283434077125147,4.47
separate-draft,conversational,2K,169,1525.191961641778,0.8141051735744047,4.47
separate-draft,code,2K,1,151.3758162528118,8.202543163123012,4.47
separate-draft,code,2K,5,546.7581225822886,2.270961537438874,4.47
separate-draft,code,2K,25,1283.8228674359948,0.9671635380248982,4.47
separate-draft,code,2K,50,1458.2758638599773,0.8514621255405285,4.47
separate-draft,code,2K,100,1496.908785404907,0.8294871930561897,4.47
separate-draft,code,2K,169,1529.8197514987955,0.8116424601330847,4.47
separate-draft,summarization-short,2K,1,123.90923670358953,10.0207756879088,4.47
separate-draft,summarization-short,2K,5,355.4727152460642,3.4930013286875305,4.47
separate-draft,summarization-short,2K,25,559.5360429701791,2.219100417688092,4.47
separate-draft,summarization-short,2K,50,593.2157075939813,2.093111579433276,4.47
separate-draft,summarization-short,2K,100,602.7426671039105,2.0600278268546863,4.47
separate-draft,summarization-short,2K,169,605.9307370161204,2.0491891082819143,4.47
separate-draft,summarization-long,2K,1,153.65068177940765,8.081100925079499,4.47
separate-draft,summarization-long,2K,5,578.1386691085777,2.1476969678938302,4.47
separate-draft,summarization-long,2K,25,1270.724042558503,0.9771332130984697,4.47
separate-draft,summarization-long,2K,50,1448.4815876641426,0.8572195029893402,4.47
separate-draft,summarization-long,2K,100,1497.4409971051523,0.829192381581012,4.47
separate-draft,summarization-long,2K,169,1532.302189693155,0.8103275417986002,4.47
baseline,conversational,8K,1,100.62861069838027,12.339101752963511,4.47
baseline,conversational,8K,5,364.2549445290225,3.4087846584268813,4.47
baseline,conversational,8K,25,782.2460971836288,1.5873095067359484,4.47
baseline,conversational,8K,50,911.2107512630513,1.3626558564476574,4.47
baseline,conversational,8K,75,962.1877362144567,1.2904619544952487,4.47
baseline,code,8K,1,100.607885410203,12.341643615747289,4.47
baseline,code,8K,5,363.94425919753803,3.411694607862264,4.47
baseline,code,8K,25,782.9649723616841,1.5858521268472392,4.47
